|                               Benchmark |     pgi_s |     pgi_v |   clang_s |   clang_v |     gcc_s |     gcc_v |     icc_s |     icc_v |
|              conv_i232_h_w_kc_kh_kw_c_c |    171887 |    240290 |    113304 |     67793 |    144168 |     72013 |     62925 |     62946 |
|              conv_i232_h_w_kc_kw_c_kh_c |     71432 |     71966 |     71766 |     59238 |     63022 |     63035 |     96198 |     59158 |
|              conv_i232_h_w_kc_kw_kh_c_c |    169818 |    240731 |    112673 |     67051 |    171690 |     72163 |     62104 |     62107 |
|              conv_i232_h_c_w_kh_kw_kc_c |    292608 |    292754 |     58001 |     58003 |    115544 |    115554 |     96206 |     59583 |
|              conv_i232_h_c_w_kh_kc_kw_c |    287533 |    287559 |    170732 |     76608 |    128002 |     39888 |     96182 |     59568 |
|              conv_i232_h_c_w_kw_kh_kc_c |    292775 |    292721 |     57240 |     57244 |    117519 |    117514 |     96190 |     59553 |
|              conv_i232_h_c_w_kw_kc_kh_c |    287033 |    286960 |    170514 |     76377 |    126927 |     37319 |     96198 |     59573 |
|              conv_i232_h_c_w_kc_kh_kw_c |    287473 |    287466 |    170746 |    170767 |    125456 |    125447 |     96214 |     59651 |
|              conv_i232_h_c_w_kc_kw_kh_c |    286963 |    286957 |    170543 |    170584 |    119645 |    119665 |     96203 |     59146 |
|              conv_i232_h_c_kh_w_kw_kc_c |    187603 |    187598 |     61731 |     61731 |     96808 |     96810 |     96208 |     59553 |
|              conv_i232_h_c_kh_w_kc_kw_c |    166595 |    166713 |    171254 |     27563 |     96803 |     34949 |     96220 |     59577 |
|              conv_i232_h_c_kh_kw_w_kc_c |     58949 |     58929 |     57990 |     81985 |     72694 |     72661 |     96197 |     59596 |
|              conv_i232_h_c_kh_kw_kc_w_c |    139806 |    143262 |    105515 |    158247 |    179922 |    179918 |    117362 |    117359 |
|              conv_i232_h_c_kh_kc_w_kw_c |     67560 |     91564 |    116363 |     71140 |     54496 |     42863 |     96186 |     59575 |
|              conv_i232_h_c_kh_kc_kw_w_c |    156289 |    156287 |    130696 |    154738 |    177536 |    177535 |    119165 |    119190 |
|              conv_i232_h_c_kw_w_kh_kc_c |    186172 |    185765 |     57096 |     57402 |    106365 |    106350 |     96197 |     59565 |
|              conv_i232_h_c_kw_w_kc_kh_c |    166706 |    166655 |    170579 |     23080 |    115484 |     36583 |     96188 |     59554 |
|              conv_i232_h_c_kw_kh_w_kc_c |     58903 |     58941 |     57987 |     81628 |     72975 |     72976 |     96185 |     59547 |
|              conv_i232_h_c_kw_kh_kc_w_c |    152258 |    143480 |    105529 |    156470 |    179996 |    179992 |    117541 |    117576 |
|              conv_i232_h_c_kw_kc_w_kh_c |     66875 |     66876 |     67749 |     71208 |    102480 |    102487 |     96194 |     59577 |
|              conv_i232_h_c_kw_kc_kh_w_c |    155976 |    156006 |    112479 |    162217 |    176225 |    176225 |    120113 |    120148 |
|              conv_i232_h_c_kc_w_kh_kw_c |    242377 |    244930 |    171306 |    171308 |    143383 |    143389 |     96185 |     59160 |
|              conv_i232_h_c_kc_w_kw_kh_c |    240375 |    240390 |    170330 |    170332 |    116533 |    116596 |     96205 |     59138 |
|              conv_i232_h_c_kc_kh_w_kw_c |     67530 |     89568 |    114803 |     71829 |     55243 |     43228 |     96184 |     59546 |
|              conv_i232_h_c_kc_kh_kw_w_c |    156630 |    156617 |    130037 |    155329 |    175730 |    175727 |     62941 |     62931 |
|              conv_i232_h_c_kc_kw_w_kh_c |     66885 |     66896 |     67507 |     72327 |    102276 |    102273 |     96192 |     59543 |
|              conv_i232_h_c_kc_kw_kh_w_c |    147857 |    147862 |    112316 |    163374 |    175867 |    175863 |     62011 |     62037 |
|              conv_i232_h_kh_w_c_kw_kc_c |    185746 |    185605 |     57236 |     57237 |     97576 |     97606 |     96192 |     59553 |
|              conv_i232_h_kh_w_c_kc_kw_c |    167571 |    167631 |    170436 |     20683 |     97415 |     35037 |     96199 |     59546 |
|              conv_i232_h_kh_w_kw_c_kc_c |     88877 |     88884 |     58137 |     61345 |     67150 |     67299 |     96199 |     59595 |
|              conv_i232_h_kh_w_kw_kc_c_c |    167647 |    167484 |    107136 |     66868 |    139677 |     72148 |    119756 |     29990 |
|              conv_i232_h_kh_w_kc_c_kw_c |     68694 |     69233 |     68871 |     62015 |     60897 |     60905 |     96197 |     59693 |
|              conv_i232_h_kh_w_kc_kw_c_c |    173089 |     70118 |    112855 |     68368 |    144167 |     72085 |    117064 |     68641 |
|              conv_i232_h_kh_c_w_kw_kc_c |    187654 |    187678 |     62265 |     62267 |     96885 |     96898 |     96194 |     59543 |
|              conv_i232_h_kh_c_w_kc_kw_c |    166910 |    166680 |    171229 |     28293 |     96884 |     34859 |     96196 |     59577 |
|              conv_i232_h_kh_c_kw_w_kc_c |     58892 |     58889 |     57948 |     81979 |     72622 |     72663 |     96192 |     59544 |
|              conv_i232_h_kh_c_kw_kc_w_c |    139938 |    143107 |    105420 |    156136 |    179806 |    179799 |    117307 |    117336 |
|              conv_i232_h_kh_c_kc_w_kw_c |     67671 |     96482 |    114292 |     71692 |     54251 |     42853 |     96221 |     59651 |
|              conv_i232_h_kh_c_kc_kw_w_c |    156214 |    156211 |    130307 |    154727 |    175827 |    175831 |     76411 |     76405 |
|              conv_i232_h_kh_kw_w_c_kc_c |     88415 |     88412 |     57999 |     58529 |     66936 |     66934 |     96193 |     59580 |
|              conv_i232_h_kh_kw_w_kc_c_c |    166554 |    166552 |    107013 |     64980 |    170415 |     72100 |     96224 |     59146 |
|              conv_i232_h_kh_kw_c_w_kc_c |     58413 |     58413 |     57581 |     90183 |     72105 |     72112 |     96192 |     59543 |
|              conv_i232_h_kh_kw_c_kc_w_c |    151778 |    142952 |    105036 |    155260 |    179341 |    179329 |     96196 |     59559 |
|              conv_i232_h_kh_kw_kc_w_c_c |    169873 |    169666 |    101263 |     53890 |    140446 |     72037 |     96207 |     59169 |
|              conv_i232_h_kh_kw_kc_c_w_c |    135908 |    169420 |    100120 |    150293 |    172927 |    172936 |     96201 |     59554 |
|              conv_i232_h_kh_kc_w_c_kw_c |     68580 |    168134 |     68275 |     60937 |     60558 |     60557 |     96209 |     59546 |
|              conv_i232_h_kh_kc_w_kw_c_c |    169069 |     90229 |    112943 |     71370 |    167705 |     71865 |     76397 |     76411 |
|              conv_i232_h_kh_kc_c_w_kw_c |     67830 |     90243 |    113719 |     81054 |     54987 |     42662 |     96211 |     59653 |
|              conv_i232_h_kh_kc_c_kw_w_c |    146318 |    146416 |    129450 |    162910 |    175297 |    175314 |     76389 |     76419 |
|              conv_i232_h_kh_kc_kw_w_c_c |    168106 |    146252 |    104767 |     53709 |    140394 |     72106 |     76008 |     76017 |
|              conv_i232_h_kh_kc_kw_c_w_c |    154158 |    168152 |    136180 |    148875 |    172933 |    172927 |     76018 |     76022 |
|              conv_i232_h_kw_w_c_kh_kc_c |    186341 |    185862 |     57673 |     57684 |     97069 |     97072 |     96210 |     59566 |
|              conv_i232_h_kw_w_c_kc_kh_c |    167002 |    166801 |    170392 |     21280 |     97952 |     35767 |     96195 |     59567 |
|              conv_i232_h_kw_w_kh_c_kc_c |     89015 |     89021 |     58237 |     61422 |     67827 |     67793 |     96195 |     59538 |
|              conv_i232_h_kw_w_kh_kc_c_c |    166979 |    166984 |    107320 |     67099 |    170621 |     72364 |    119756 |     30449 |
|              conv_i232_h_kw_w_kc_c_kh_c |     71491 |     72112 |     71963 |     58695 |     63675 |     63561 |     96199 |     59551 |
|              conv_i232_h_kw_w_kc_kh_c_c |    169936 |    169939 |    113797 |     67210 |    144077 |     72536 |    117059 |     50595 |
|              conv_i232_h_kw_c_w_kh_kc_c |    186260 |    185826 |     56971 |     56970 |    106609 |    106613 |     96190 |     59551 |
|              conv_i232_h_kw_c_w_kc_kh_c |    166705 |    166671 |    170464 |     23115 |    115462 |     36541 |     96192 |     59545 |
|              conv_i232_h_kw_c_kh_w_kc_c |     58912 |     58927 |     57972 |     81527 |     72961 |     72968 |     96195 |     59554 |
|              conv_i232_h_kw_c_kh_kc_w_c |    116971 |    143385 |    105433 |    156091 |    180252 |    180249 |     59486 |     45260 |
|              conv_i232_h_kw_c_kc_w_kh_c |     67005 |     67001 |     67657 |     72981 |    102255 |    102261 |     96206 |     59658 |
|              conv_i232_h_kw_c_kc_kh_w_c |    146863 |    146855 |    112145 |    160416 |    176159 |    176185 |     74058 |     74067 |
|              conv_i232_h_kw_kh_w_c_kc_c |     88418 |     88414 |     58031 |     63560 |     66905 |     66918 |     96204 |     59560 |
|              conv_i232_h_kw_kh_w_kc_c_c |    166555 |    166553 |    107019 |     64879 |    138045 |     72151 |     59148 |     45130 |
|              conv_i232_h_kw_kh_c_w_kc_c |     58396 |     58416 |     57569 |     86703 |     72105 |     72125 |     96205 |     59543 |
|              conv_i232_h_kw_kh_c_kc_w_c |    115897 |    142932 |    105035 |    152368 |    179435 |    179432 |     59505 |     45150 |
|              conv_i232_h_kw_kh_kc_w_c_c |    168558 |    168540 |    101187 |     53765 |    134411 |     72040 |     59129 |     45063 |
|              conv_i232_h_kw_kh_kc_c_w_c |    154298 |    168543 |    100103 |    150287 |    172948 |    172973 |     59506 |     45190 |
|              conv_i232_h_kw_kc_w_c_kh_c |     71350 |    168175 |     71507 |     59667 |     62864 |     62760 |     96222 |     59683 |
|              conv_i232_h_kw_kc_w_kh_c_c |    176781 |     67229 |    113072 |     71677 |    143771 |     72423 |     74005 |     73977 |
|              conv_i232_h_kw_kc_c_w_kh_c |     67223 |     67234 |     67981 |     78105 |    101901 |    101914 |     96215 |     59662 |
|              conv_i232_h_kw_kc_c_kh_w_c |    137687 |    156383 |    111439 |    164495 |    176057 |    176055 |     73997 |     74004 |
|              conv_i232_h_kw_kc_kh_w_c_c |    168174 |    156383 |    101172 |     53814 |    167100 |     72316 |     73997 |     73957 |
|              conv_i232_h_kw_kc_kh_c_w_c |    116949 |    168176 |    100150 |    150340 |    172902 |    172895 |     74759 |     74752 |
|              conv_i232_h_kc_w_c_kh_kw_c |    242275 |    242287 |    170243 |    170246 |    132003 |    132010 |     96181 |     59162 |
|              conv_i232_h_kc_w_c_kw_kh_c |    240480 |    240466 |    170207 |    170204 |    117256 |    117168 |     96207 |     59170 |
|              conv_i232_h_kc_w_kh_c_kw_c |     68709 |     69538 |     68819 |     61531 |     60790 |     61227 |     96206 |     59540 |
|              conv_i232_h_kc_w_kh_kw_c_c |    169954 |    240263 |    112807 |     68094 |    139121 |     71935 |    116875 |     67015 |
|              conv_i232_h_kc_w_kw_c_kh_c |     71455 |     72024 |     71794 |     58942 |     63554 |     63484 |     96187 |     59555 |
|              conv_i232_h_kc_w_kw_kh_c_c |    169949 |    240698 |    113618 |     67400 |    168556 |     72045 |    116472 |     50238 |
|              conv_i232_h_kc_c_w_kh_kw_c |    242344 |    244626 |    171346 |    171345 |    133507 |    133534 |     96209 |     59668 |
|              conv_i232_h_kc_c_w_kw_kh_c |    240338 |    240356 |    170237 |    170239 |    115520 |    115508 |     96217 |     59665 |
|              conv_i232_h_kc_c_kh_w_kw_c |     67642 |     89515 |    114591 |     71850 |     55259 |     43174 |     96191 |     59548 |
|              conv_i232_h_kc_c_kh_kw_w_c |    119626 |    119630 |    129685 |    155567 |    175486 |    175483 |    118926 |    118935 |
|              conv_i232_h_kc_c_kw_w_kh_c |     66600 |     66593 |     67394 |     72052 |    104481 |    104517 |     96193 |     59558 |
|              conv_i232_h_kc_c_kw_kh_w_c |    155561 |    155555 |    111978 |    163552 |    175798 |    175796 |    120094 |    120113 |
|              conv_i232_h_kc_kh_w_c_kw_c |     68589 |    168150 |     68268 |     60458 |     60193 |     60185 |     96202 |     59568 |
|              conv_i232_h_kc_kh_w_kw_c_c |    169042 |     90153 |    112026 |     66383 |    167882 |     71848 |     62935 |     62935 |
|              conv_i232_h_kc_kh_c_w_kw_c |     67885 |     90174 |    113665 |     80790 |     56148 |     43125 |     96201 |     59666 |
|              conv_i232_h_kc_kh_c_kw_w_c |    118986 |    119001 |    129012 |    163277 |    176146 |    176147 |     62932 |     62940 |
|              conv_i232_h_kc_kh_kw_w_c_c |    168151 |    118999 |    104209 |     53694 |    167086 |     72267 |     62933 |     62932 |
|              conv_i232_h_kc_kh_kw_c_w_c |    116881 |    168151 |    129733 |    148922 |    172882 |    172879 |     63054 |     63055 |
|              conv_i232_h_kc_kw_w_c_kh_c |     71410 |    168158 |     71882 |     59187 |     63306 |     63147 |     96213 |     59654 |
|              conv_i232_h_kc_kw_w_kh_c_c |    170437 |     67620 |    113117 |     72436 |    143730 |     72291 |     62097 |     62113 |
|              conv_i232_h_kc_kw_c_w_kh_c |     67615 |     67642 |     67762 |     78107 |    101986 |    101978 |     96213 |     59659 |
|              conv_i232_h_kc_kw_c_kh_w_c |    156374 |    156377 |    112413 |    165029 |    176065 |    176072 |     62096 |     62104 |
|              conv_i232_h_kc_kw_kh_w_c_c |    168164 |    156381 |    101162 |     53758 |    167124 |     72217 |     61820 |     61821 |
|              conv_i232_h_kc_kw_kh_c_w_c |    116938 |    168161 |    100168 |    150198 |    172938 |    172901 |     61348 |     61363 |
|              conv_i232_w_h_c_kh_kw_kc_c |    292214 |    292352 |     56993 |     56995 |    113598 |    113643 |     96195 |     59559 |
|              conv_i232_w_h_c_kh_kc_kw_c |    287513 |    287500 |    170176 |     75952 |    127101 |     38395 |     96181 |     59154 |
|              conv_i232_w_h_c_kw_kh_kc_c |    292609 |    292572 |     56826 |     56827 |    117746 |    117730 |     96199 |     59552 |
|              conv_i232_w_h_c_kw_kc_kh_c |    286989 |    286990 |    170209 |     75967 |    127194 |     37253 |     96203 |     59181 |
|              conv_i232_w_h_c_kc_kh_kw_c |    287436 |    287440 |    170194 |    170194 |    120881 |    120881 |     96199 |     59563 |
|              conv_i232_w_h_c_kc_kw_kh_c |    286986 |    286984 |    170207 |    170206 |    115264 |    115341 |     96189 |     59540 |
|              conv_i232_w_h_kh_c_kw_kc_c |    185912 |    185815 |     57335 |     57502 |     97386 |     97217 |     96191 |     59552 |
|              conv_i232_w_h_kh_c_kc_kw_c |    166915 |    166830 |    170449 |     20797 |     97137 |     35471 |     96207 |     59669 |
|              conv_i232_w_h_kh_kw_c_kc_c |     88894 |     88889 |     58253 |     61358 |     67206 |     67206 |     96193 |     59552 |
|              conv_i232_w_h_kh_kw_kc_c_c |    166918 |    166923 |    107246 |     66860 |    138251 |     72130 |    119775 |     30490 |
|              conv_i232_w_h_kh_kc_c_kw_c |     68777 |     69043 |     69756 |     61935 |     60911 |     60919 |     96197 |     59155 |
|              conv_i232_w_h_kh_kc_kw_c_c |    169282 |     69039 |    113950 |     68442 |    172525 |     72148 |    117083 |     66942 |
|              conv_i232_w_h_kw_c_kh_kc_c |    186372 |    185812 |     57804 |     57831 |     97268 |     97175 |     96194 |     59560 |
|              conv_i232_w_h_kw_c_kc_kh_c |    166769 |    166051 |    170427 |     21375 |     98402 |     35778 |     96230 |     59686 |
|              conv_i232_w_h_kw_kh_c_kc_c |     89064 |     89066 |     58249 |     61388 |     68020 |     68024 |     96192 |     59555 |
|              conv_i232_w_h_kw_kh_kc_c_c |    166888 |    166862 |    107277 |     67082 |    170514 |     72326 |    119776 |     30061 |
|              conv_i232_w_h_kw_kc_c_kh_c |     71528 |     72110 |     72021 |     58694 |     63647 |     63820 |     96201 |     59131 |
|              conv_i232_w_h_kw_kc_kh_c_c |    170182 |    170090 |    113635 |     67348 |    143659 |     72300 |    117085 |     51495 |
|              conv_i232_w_h_kc_c_kh_kw_c |    242083 |    242073 |    170251 |    170253 |    123999 |    124076 |     96201 |     59578 |
|              conv_i232_w_h_kc_c_kw_kh_c |    240510 |    240498 |    170264 |    170269 |    119305 |    119353 |     96199 |     59564 |
|              conv_i232_w_h_kc_kh_c_kw_c |     68810 |     69096 |     69754 |     62138 |     62105 |     61464 |     96181 |     59131 |
|              conv_i232_w_h_kc_kh_kw_c_c |    171815 |    240315 |    113541 |     68422 |    144138 |     72097 |    116902 |     66829 |
|              conv_i232_w_h_kc_kw_c_kh_c |     71495 |     72068 |     72101 |     59314 |     63193 |     62966 |     96215 |     59125 |
|              conv_i232_w_h_kc_kw_kh_c_c |    169801 |    240703 |    112879 |     67514 |    171372 |     72244 |    116930 |     50168 |
|              conv_i232_w_c_h_kh_kw_kc_c |    294786 |    294895 |     58263 |     58263 |    117779 |    117793 |     96206 |     59551 |
|              conv_i232_w_c_h_kh_kc_kw_c |    288674 |    288647 |    172209 |     76697 |    130110 |     39625 |     96192 |     59556 |
|              conv_i232_w_c_h_kw_kh_kc_c |    295099 |    295046 |     58668 |     58669 |    116897 |    116914 |     96190 |     59566 |
|              conv_i232_w_c_h_kw_kc_kh_c |    288788 |    288760 |    171180 |     78090 |    129583 |     39418 |     96196 |     59568 |
|              conv_i232_w_c_h_kc_kh_kw_c |    289331 |    289331 |    170802 |    170815 |    123850 |    123873 |     96206 |     59680 |
|              conv_i232_w_c_h_kc_kw_kh_c |    289385 |    289357 |    171215 |    171214 |    124244 |    124236 |     96204 |     59157 |
|              conv_i232_w_c_kh_h_kw_kc_c |    199200 |    199152 |     61659 |     61656 |    115903 |    115909 |     96195 |     59559 |
|              conv_i232_w_c_kh_h_kc_kw_c |    180222 |    180231 |    171764 |     30198 |    122764 |     42856 |     96212 |     59564 |
|              conv_i232_w_c_kh_kw_h_kc_c |    155778 |    141957 |    137040 |    181814 |    130516 |    130492 |     96196 |     59548 |
|              conv_i232_w_c_kh_kw_kc_h_c |    715687 |    722143 |    715474 |    650198 |    714471 |    715174 |    727051 |    740183 |
|              conv_i232_w_c_kh_kc_h_kw_c |     95470 |     95512 |     95776 |     93946 |    122945 |    122932 |     96201 |     59545 |
|              conv_i232_w_c_kh_kc_kw_h_c |    715392 |    718580 |    720814 |    634681 |    720131 |    727903 |    729208 |    730532 |
|              conv_i232_w_c_kw_h_kh_kc_c |    203647 |    203634 |     69642 |     69648 |     98142 |     98154 |     96192 |     59560 |
|              conv_i232_w_c_kw_h_kc_kh_c |    180152 |    180264 |    174312 |     38397 |     99385 |     36996 |     96205 |     59553 |
|              conv_i232_w_c_kw_kh_h_kc_c |    136022 |    157722 |    134122 |    181766 |    141522 |    129001 |     96199 |     59603 |
|              conv_i232_w_c_kw_kh_kc_h_c |    715207 |    715421 |    714929 |    710203 |    738626 |    720257 |    725660 |    745561 |
|              conv_i232_w_c_kw_kc_h_kh_c |     93289 |    131645 |    146174 |    108004 |     65677 |     65673 |     96190 |     59541 |
|              conv_i232_w_c_kw_kc_kh_h_c |    723814 |    714274 |    727504 |    641900 |    719803 |    715662 |    723628 |    723063 |
|              conv_i232_w_c_kc_h_kh_kw_c |    248675 |    248684 |    170692 |    170701 |    129077 |    129094 |     96181 |     59161 |
|              conv_i232_w_c_kc_h_kw_kh_c |    248729 |    248904 |    171295 |    171304 |    128331 |    128376 |     96195 |     59161 |
|              conv_i232_w_c_kc_kh_h_kw_c |     95334 |     95381 |     96147 |     91879 |    122693 |    122709 |     96187 |     59566 |
|              conv_i232_w_c_kc_kh_kw_h_c |    717185 |    712248 |    718343 |    659199 |    716374 |    725842 |     62925 |     62952 |
|              conv_i232_w_c_kc_kw_h_kh_c |     93352 |    126591 |    145732 |    109497 |     66367 |     66377 |     96192 |     59586 |
|              conv_i232_w_c_kc_kw_kh_h_c |    713753 |    713689 |    723762 |    620312 |    722573 |    728942 |     61990 |     62028 |
|              conv_i232_w_kh_h_c_kw_kc_c |    186224 |    186153 |     57404 |     57404 |     97445 |     97445 |     96187 |     59543 |
|              conv_i232_w_kh_h_c_kc_kw_c |    167627 |    168327 |    170590 |     21100 |     96777 |     36167 |     96233 |     59549 |
|              conv_i232_w_kh_h_kw_c_kc_c |     88939 |     88930 |     58356 |     61405 |     67368 |     67465 |     96194 |     59585 |
|              conv_i232_w_kh_h_kw_kc_c_c |    166858 |    166832 |    107426 |     66921 |    138415 |     72195 |    119760 |     30090 |
|              conv_i232_w_kh_h_kc_c_kw_c |     68961 |     69835 |     69685 |     61816 |     61461 |     61484 |     96200 |     59691 |
|              conv_i232_w_kh_h_kc_kw_c_c |    169297 |     69208 |    113056 |     68224 |    172403 |     72165 |    117071 |     68175 |
|              conv_i232_w_kh_c_h_kw_kc_c |    199191 |    199269 |     61384 |     61384 |    115406 |    115405 |     96206 |     59567 |
|              conv_i232_w_kh_c_h_kc_kw_c |    180321 |    180292 |    171902 |     30013 |    122521 |     42742 |     96169 |     59570 |
|              conv_i232_w_kh_c_kw_h_kc_c |    130052 |    136621 |    127068 |    183275 |    128301 |    126085 |     96194 |     59583 |
|              conv_i232_w_kh_c_kw_kc_h_c |    717222 |    720249 |    715690 |    638929 |    715712 |    720107 |    742674 |    720906 |
|              conv_i232_w_kh_c_kc_h_kw_c |     95430 |     95388 |     95339 |     94055 |    122670 |    122659 |     96205 |     59652 |
|              conv_i232_w_kh_c_kc_kw_h_c |    719161 |    717496 |    715609 |    670984 |    711730 |    718931 |     76392 |     76411 |
|              conv_i232_w_kh_kw_h_c_kc_c |     88814 |     88813 |     60084 |     58593 |     68819 |     68829 |     96194 |     59555 |
|              conv_i232_w_kh_kw_h_kc_c_c |    166720 |    166723 |    110649 |     65467 |    138887 |     72223 |     96198 |     59143 |
|              conv_i232_w_kh_kw_c_h_kc_c |    123562 |    130803 |    127955 |    169309 |    125423 |    125799 |     96191 |     59563 |
|              conv_i232_w_kh_kw_c_kc_h_c |    737136 |    720252 |    729792 |    610910 |    713726 |    707966 |     96190 |     59550 |
|              conv_i232_w_kh_kw_kc_h_c_c |    169051 |    169036 |    115812 |     57142 |    143991 |     72243 |     96208 |     59168 |
|              conv_i232_w_kh_kw_kc_c_h_c |    733529 |    168771 |    751204 |    603059 |    749989 |    730706 |     96193 |     59563 |
|              conv_i232_w_kh_kc_h_c_kw_c |     69483 |    168181 |     69979 |     61935 |     61547 |     61028 |     96214 |     59594 |
|              conv_i232_w_kh_kc_h_kw_c_c |    176687 |     94705 |    114368 |     71511 |    167774 |     71942 |     76403 |     76399 |
|              conv_i232_w_kh_kc_c_h_kw_c |     94673 |     94734 |     95054 |    103870 |    122198 |    122196 |     96191 |     59661 |
|              conv_i232_w_kh_kc_c_kw_h_c |    714661 |    717287 |    718663 |    642389 |    722932 |    719605 |     76395 |     76388 |
|              conv_i232_w_kh_kc_kw_h_c_c |    168181 |    716763 |    115809 |     56954 |    146008 |     72746 |     76025 |     76038 |
|              conv_i232_w_kh_kc_kw_c_h_c |    724402 |    168182 |    734111 |    616231 |    730121 |    735364 |     76017 |     76024 |
|              conv_i232_w_kw_h_c_kh_kc_c |    186658 |    186186 |     57659 |     57658 |     96800 |     96819 |     96199 |     59575 |
|              conv_i232_w_kw_h_c_kc_kh_c |    166859 |    165705 |    170566 |     21483 |     97758 |     35401 |     96191 |     59570 |
|              conv_i232_w_kw_h_kh_c_kc_c |     89068 |     89057 |     58346 |     61415 |     68067 |     68078 |     96196 |     59561 |
|              conv_i232_w_kw_h_kh_kc_c_c |    167308 |    167356 |    107480 |     67126 |    171240 |     72454 |    119756 |     31088 |
|              conv_i232_w_kw_h_kc_c_kh_c |     71758 |     72679 |     72400 |     58725 |     63238 |     63309 |     96194 |     59581 |
|              conv_i232_w_kw_h_kc_kh_c_c |    178031 |    178117 |    113242 |     67615 |    143201 |     72349 |    117066 |     50898 |
|              conv_i232_w_kw_c_h_kh_kc_c |    203753 |    203757 |     69213 |     69215 |     98253 |     98270 |     96196 |     59542 |
|              conv_i232_w_kw_c_h_kc_kh_c |    180253 |    180296 |    173758 |     41352 |     99538 |     37234 |     96193 |     59566 |
|              conv_i232_w_kw_c_kh_h_kc_c |    130627 |    132579 |    129362 |    180810 |    129880 |    129147 |     96193 |     59546 |
|              conv_i232_w_kw_c_kh_kc_h_c |    715362 |    716057 |    718351 |    677510 |    721294 |    718146 |     59488 |     45287 |
|              conv_i232_w_kw_c_kc_h_kh_c |     93291 |    128479 |    142248 |    106143 |     65661 |     65672 |     96208 |     59659 |
|              conv_i232_w_kw_c_kc_kh_h_c |    712857 |    720601 |    724065 |    628875 |    712668 |    715542 |     74038 |     74014 |
|              conv_i232_w_kw_kh_h_c_kc_c |     88830 |     88822 |     60103 |     62017 |     68487 |     68796 |     96196 |     59551 |
|              conv_i232_w_kw_kh_h_kc_c_c |    166556 |    166553 |    110625 |     70605 |    138773 |     72314 |     59128 |     45135 |
|              conv_i232_w_kw_kh_c_h_kc_c |    133908 |    135307 |    125168 |    173538 |    126365 |    125331 |     96220 |     59610 |
|              conv_i232_w_kw_kh_c_kc_h_c |    722463 |    713953 |    727941 |    646548 |    721094 |    719195 |     59488 |     45251 |
|              conv_i232_w_kw_kh_kc_h_c_c |    168626 |    168215 |    115806 |     57198 |    142089 |     72624 |     59146 |     45119 |
|              conv_i232_w_kw_kh_kc_c_h_c |    731091 |    168283 |    732957 |    620033 |    730491 |    732188 |     59496 |     45246 |
